point_id,longitude,latitude,location,poi,poi_type
368169657,-118.1217366,34.0983424,Los Angeles County,library,amenity
368169661,-118.1253045,34.0915246,Los Angeles County,library,amenity
368169665,-118.3881593,33.8459641,Los Angeles County,library,amenity
368169668,-118.3050844,34.0624459,Los Angeles County,library,amenity
368169681,-118.257575,34.1388969,Los Angeles County,library,amenity
368169685,-118.4292387,34.2611918,Los Angeles County,library,amenity
368169690,-118.3278526,33.9605695,Los Angeles County,library,amenity
368169694,-118.053401,34.1080639,Los Angeles County,library,amenity
368169698,-118.2061801,34.1006659,Los Angeles County,library,amenity
368169703,-118.4289682,34.0663982,Los Angeles County,library,amenity
368169711,-118.3270189,33.9333477,Los Angeles County,library,amenity
368169720,-118.1999942,34.1738059,Los Angeles County,library,amenity
368169724,-118.2765332,34.182052,Los Angeles County,library,amenity
368169728,-118.2325922,34.2074195,Los Angeles County,library,amenity
368169732,-117.9839571,34.5213818,Los Angeles County,library,amenity
368169736,-118.2855972,34.1704587,Los Angeles County,library,amenity
368169752,-118.3794279,34.1655955,Los Angeles County,library,amenity
368169776,-118.214034,34.0761988,Los Angeles County,library,amenity
368169777,-118.2410863,34.0606326,Los Angeles County,library,amenity
368169779,-118.3292309,34.0401717,Los Angeles County,library,amenity
368169782,-118.259136,34.1200279,Los Angeles County,library,amenity
368169786,-118.3709132,34.2147265,Los Angeles County,library,amenity
368169790,-118.288964,34.0911222,Los Angeles County,library,amenity
368169795,-118.2574018,34.0671091,Los Angeles County,library,amenity
368169810,-118.1978346,34.0507475,Los Angeles County,library,amenity
368169814,-118.2134872,34.1376208,Los Angeles County,library,amenity
368169817,-118.131386,34.092553,Los Angeles County,library,amenity
368169819,-118.4289671,34.0058446,Los Angeles County,library,amenity
368169820,-118.3417424,33.9927909,Los Angeles County,library,amenity
368169822,-118.2999475,33.9398371,Los Angeles County,library,amenity
368169824,-118.3736029,33.9097642,Los Angeles County,library,amenity
368169830,-118.3475786,34.1850055,Los Angeles County,library,amenity
368169832,-118.311743,34.0744997,Los Angeles County,library,amenity
368169837,-118.2959044,33.9998658,Los Angeles County,library,amenity
368169838,-118.256184,34.0025142,Los Angeles County,library,amenity
368169840,-118.3436882,34.0841763,Los Angeles County,library,amenity
368169841,-118.2921362,33.9816058,Los Angeles County,library,amenity
368169842,-118.274326,34.0017495,Los Angeles County,library,amenity
368169843,-118.2829325,33.9484007,Los Angeles County,library,amenity
368169845,-118.2840284,34.063239,Los Angeles County,library,amenity
368169846,-118.318226,33.9747922,Los Angeles County,library,amenity
368169848,-118.3186867,34.0258455,Los Angeles County,library,amenity
368169849,-118.352604,34.0282866,Los Angeles County,library,amenity
368169850,-118.2746439,33.9744865,Los Angeles County,library,amenity
368169851,-118.3227646,33.9948594,Los Angeles County,library,amenity
368169852,-118.3353543,34.0625105,Los Angeles County,library,amenity
368169870,-118.525094,34.0440167,Los Angeles County,library,amenity
368169874,-118.3520196,33.9383472,Los Angeles County,library,amenity
368169875,-118.395544,33.8642572,Los Angeles County,library,amenity
368169877,-118.3542415,33.9172364,Los Angeles County,library,amenity
368169879,-118.397021,34.0075118,Los Angeles County,library,amenity
368169886,-118.1161835,34.5791566,Los Angeles County,library,amenity
368169892,-118.592637,34.2569724,Los Angeles County,library,amenity
368170823,-117.7506526,34.0539011,Los Angeles County,library,amenity
368170850,-118.1675,34.0675,Los Angeles County,library,amenity
368170855,-117.8852778,34.1355556,Los Angeles County,library,amenity
462002198,-118.3303359,34.1641087,Los Angeles County,library,amenity
723361328,-118.1275059,34.0930938,Los Angeles County,library,amenity
1540321968,-118.185255,34.1692688,Los Angeles County,library,amenity
1564072178,-118.439347,34.0741881,Los Angeles County,library,amenity
1840680085,-118.3710922,33.7699454,Los Angeles County,library,amenity
1951264203,-118.4426067,34.0690663,Los Angeles County,library,amenity
1951264206,-118.440394,34.0710002,Los Angeles County,library,amenity
1951264211,-118.440779,34.0692678,Los Angeles County,library,amenity
1951264212,-118.442138,34.0663256,Los Angeles County,library,amenity
1956603876,-118.43826,34.072651,Los Angeles County,library,amenity
2406451769,-118.2622637,34.0780432,Los Angeles County,library,amenity
2412277969,-118.1168029,34.1452609,Los Angeles County,library,amenity
2514213546,-118.3315488,34.0573246,Los Angeles County,library,amenity
3576710450,-118.1884456,33.8244679,Los Angeles County,library,amenity
3675749016,-118.1228163,33.8391561,Los Angeles County,library,amenity
3675763866,-118.1191349,33.7996984,Los Angeles County,library,amenity
3699304320,-118.4255,33.9701814,Los Angeles County,library,amenity
4202607480,-118.577317,34.1861364,Los Angeles County,library,amenity
4206206889,-117.9650863,34.0879872,Los Angeles County,library,amenity
4364315023,-118.1846256,33.861184,Los Angeles County,library,amenity
4636122601,-118.441815,34.0577643,Los Angeles County,library,amenity
4777387247,-118.1401529,34.147551,Los Angeles County,library,amenity
4793973843,-118.0020798,34.1486505,Los Angeles County,library,amenity
4906581933,-118.7984583,34.144639,Los Angeles County,library,amenity
5174152494,-117.8308025,33.9990149,Los Angeles County,library,amenity
5434324595,-118.0887686,33.8557093,Los Angeles County,library,amenity
5439116102,-118.0943833,33.8737703,Los Angeles County,library,amenity
5452020352,-118.0874425,33.8466439,Los Angeles County,library,amenity
5466045125,-118.3270654,33.3432796,Los Angeles County,library,amenity
5638790721,-118.0776361,33.8605871,Los Angeles County,library,amenity
5904931944,-118.2649165,34.1396696,Los Angeles County,library,amenity
6042978413,-118.2828496,34.0217677,Los Angeles County,library,amenity
6978502255,-118.0387349,34.1300806,Los Angeles County,library,amenity
7204978037,-118.168742,34.0892586,Los Angeles County,library,amenity
8122192772,-118.572845,34.3932707,Los Angeles County,library,amenity
8918363673,-118.386074,34.0039413,Los Angeles County,library,amenity
8952878959,-117.893802,34.1356315,Los Angeles County,library,amenity
9289721617,-118.529326,34.2399669,Los Angeles County,library,amenity
10135808316,-118.3297012,34.089759,Los Angeles County,library,amenity
10593326125,-118.468054,34.0211749,Los Angeles County,library,amenity
10634721871,-118.248024,33.967861,Los Angeles County,library,amenity
11065613426,-118.241496,34.1336797,Los Angeles County,library,amenity
11165699978,-118.0583468,34.6929532,Los Angeles County,library,amenity
351566474,-118.0952727,34.2547197,Los Angeles County,school,amenity
358779437,-118.3180137,33.8088978,Los Angeles County,school,amenity
358779446,-118.3564635,33.8927924,Los Angeles County,school,amenity
358779466,-118.592719,34.2422185,Los Angeles County,school,amenity
358779518,-118.206461,34.1102869,Los Angeles County,school,amenity
358779550,-118.1720161,34.0858432,Los Angeles County,school,amenity
358779558,-118.1403483,34.0905651,Los Angeles County,school,amenity
358779563,-117.7922809,34.116953,Los Angeles County,school,amenity
358779618,-118.3400559,34.0430891,Los Angeles County,school,amenity
358779635,-117.895895,33.9836236,Los Angeles County,school,amenity
358779637,-118.066735,34.1661172,Los Angeles County,school,amenity
358779650,-117.9567646,34.0429713,Los Angeles County,school,amenity
358779729,-118.3472965,33.8905704,Los Angeles County,school,amenity
358779780,-118.0045104,34.1150077,Los Angeles County,school,amenity
358779805,-118.292573,33.8833491,Los Angeles County,school,amenity
358779821,-118.3072971,34.2551709,Los Angeles County,school,amenity
358779842,-118.0570123,34.118619,Los Angeles County,school,amenity
358779895,-118.3247982,34.0408448,Los Angeles County,school,amenity
358779906,-118.3825803,34.2152821,Los Angeles County,school,amenity
358779983,-118.3361878,34.0694546,Los Angeles County,school,amenity
358780007,-118.2828355,33.9332724,Los Angeles County,school,amenity
358780011,-118.0517344,34.1658393,Los Angeles County,school,amenity
358780032,-118.19785,34.047234,Los Angeles County,school,amenity
358780099,-117.8875838,34.1304082,Los Angeles County,school,amenity
358780144,-118.015344,34.0663985,Los Angeles County,school,amenity
358780205,-117.9708981,34.0788981,Los Angeles County,school,amenity
358780215,-117.9428415,34.0486215,Los Angeles County,school,amenity
358780220,-118.0467342,34.117508,Los Angeles County,school,amenity
358780285,-118.2170159,33.9252932,Los Angeles County,school,amenity
358780290,-118.2234058,33.9836255,Los Angeles County,school,amenity
358780293,-117.8647833,34.0736209,Los Angeles County,school,amenity
358780390,-117.9870097,34.0530656,Los Angeles County,school,amenity
358780405,-118.1403461,33.8977929,Los Angeles County,school,amenity
358780521,-118.1675703,33.9589032,Los Angeles County,school,amenity
358780538,-118.462462,34.0821132,Los Angeles County,school,amenity
358780544,-118.3061882,34.1841724,Los Angeles County,school,amenity
358780561,-118.112567,33.8750152,Los Angeles County,school,amenity
358780567,-118.112567,33.875293,Los Angeles County,school,amenity
358780586,-118.1814606,34.0397342,Los Angeles County,school,amenity
358780625,-118.2625745,34.0627892,Los Angeles County,school,amenity
358780633,-118.2942418,34.0497338,Los Angeles County,school,amenity
358780669,-118.0333988,33.9394577,Los Angeles County,school,amenity
358780686,-118.3550744,33.882237,Los Angeles County,school,amenity
358780730,-118.3597969,33.8997366,Los Angeles County,school,amenity
358780888,-118.1911822,33.9614034,Los Angeles County,school,amenity
358780906,-118.3394992,34.0986383,Los Angeles County,school,amenity
358780978,-118.0229854,34.1382548,Los Angeles County,school,amenity
358781027,-118.1903461,33.7769621,Los Angeles County,school,amenity
358781087,-118.287296,33.9514036,Los Angeles County,school,amenity
358781097,-118.1725689,33.858905,Los Angeles County,school,amenity
358781106,-118.075623,33.9711243,Los Angeles County,school,amenity
358781186,-118.4320254,34.1525063,Los Angeles County,school,amenity
358781237,-118.2614613,33.884183,Los Angeles County,school,amenity
358781242,-118.3995246,34.1708391,Los Angeles County,school,amenity
358781250,-118.0883993,33.8702929,Los Angeles County,school,amenity
358781255,-118.111459,34.1811167,Los Angeles County,school,amenity
358781269,-118.4928609,34.1586169,Los Angeles County,school,amenity
358781280,-118.3556324,34.046122,Los Angeles County,school,amenity
358781314,-117.9745093,34.089731,Los Angeles County,school,amenity
358781319,-118.4415114,34.2196221,Los Angeles County,school,amenity
358781324,-118.1886834,34.1027871,Los Angeles County,school,amenity
358781329,-118.3973034,34.2358368,Los Angeles County,school,amenity
358781378,-118.3053535,34.0705661,Los Angeles County,school,amenity
358781422,-118.4675825,34.1650057,Los Angeles County,school,amenity
358781424,-117.9567308,34.0447326,Los Angeles County,school,amenity
358781426,-117.9475639,34.0555657,Los Angeles County,school,amenity
358781462,-118.363584,33.8154452,Los Angeles County,school,amenity
358781482,-118.437027,34.2305593,Los Angeles County,school,amenity
358781507,-118.3828579,34.2061157,Los Angeles County,school,amenity
358781514,-117.920063,34.0613989,Los Angeles County,school,amenity
358781517,-118.0171633,34.1247452,Los Angeles County,school,amenity
358781672,-118.2399896,34.064243,Los Angeles County,school,amenity
358781735,-117.903118,34.1300077,Los Angeles County,school,amenity
358781737,-118.3480679,34.0607833,Los Angeles County,school,amenity
358781748,-117.757835,34.0627884,Los Angeles County,school,amenity
358781755,-118.2703493,33.8116841,Los Angeles County,school,amenity
358781805,-118.4039644,33.8886251,Los Angeles County,school,amenity
358781818,-118.3467423,33.9780689,Los Angeles County,school,amenity
358781920,-118.4390964,34.1657811,Los Angeles County,school,amenity
358781987,-118.4397316,34.2265497,Los Angeles County,school,amenity
358781994,-118.5856432,34.2541698,Los Angeles County,school,amenity
358782087,-117.8911731,34.0680655,Los Angeles County,school,amenity
358782099,-118.4239697,34.1566729,Los Angeles County,school,amenity
358782111,-118.34313,33.9091812,Los Angeles County,school,amenity
358782115,-118.2536859,34.1258419,Los Angeles County,school,amenity
358782118,-117.9589534,34.1425069,Los Angeles County,school,amenity
358782121,-118.2568484,34.2353333,Los Angeles County,school,amenity
358782141,-117.8800617,34.1036198,Los Angeles County,school,amenity
358782153,-117.8855528,34.13282,Los Angeles County,school,amenity
358782157,-117.9028402,34.1294521,Los Angeles County,school,amenity
358782260,-118.0845102,33.8661262,Los Angeles County,school,amenity
358782326,-118.3890748,34.1607643,Los Angeles County,school,amenity
358782364,-118.149302,33.8652316,Los Angeles County,school,amenity
358782396,-118.033678,34.0711207,Los Angeles County,school,amenity
358782407,-118.2859085,34.0694552,Los Angeles County,school,amenity
358782430,-117.9044397,34.1110643,Los Angeles County,school,amenity
358782528,-118.7862014,34.1105617,Los Angeles County,school,amenity
358782532,-118.1978493,33.9761254,Los Angeles County,school,amenity
358782547,-117.9339524,34.0575101,Los Angeles County,school,amenity
358782551,-118.5245259,34.0444532,Los Angeles County,school,amenity
358782565,-117.8978399,34.0666766,Los Angeles County,school,amenity
358782568,-118.3948018,34.1416736,Los Angeles County,school,amenity
358782742,-118.1022877,33.815294,Los Angeles County,school,amenity
358782779,-118.2897975,34.0691775,Los Angeles County,school,amenity
358782819,-117.9014514,34.1386185,Los Angeles County,school,amenity
358782829,-118.028788,34.1244211,Los Angeles County,school,amenity
358782903,-117.9956212,34.0688983,Los Angeles County,school,amenity
358782928,-118.8945388,34.070285,Los Angeles County,school,amenity
358782951,-118.2210559,33.8652817,Los Angeles County,school,amenity
358782954,-118.2183844,33.8673485,Los Angeles County,school,amenity
358782988,-117.9445082,34.0327887,Los Angeles County,school,amenity
358783000,-118.2270831,34.1280376,Los Angeles County,school,amenity
358783023,-118.098405,34.7113735,Los Angeles County,school,amenity
358783032,-118.1586844,34.7091511,Los Angeles County,school,amenity
358783054,-117.9633977,34.0016787,Los Angeles County,school,amenity
358783072,-118.222573,34.0883435,Los Angeles County,school,amenity
358783104,-118.2203507,34.0447343,Los Angeles County,school,amenity
358783123,-118.072013,34.1708392,Los Angeles County,school,amenity
358783130,-117.9922877,34.0383439,Los Angeles County,school,amenity
358783190,-117.880895,34.1186193,Los Angeles County,school,amenity
